"id";"nr_cir";"nr_sv";"nr_col_cd";"nr_col_s";"artera"
"1";"1";"1";"1";"1";"str. Calea Ciugudului"
"2";"1";"1";"1";"1";"str. Costache Negruzzi"
"3";"1";"1";"1";"1";"str. Gheorghe Doja"
"4";"1";"1";"1";"1";"str. Ionel Pop "
"5";"1";"1";"1";"1";"str. Ioan Buteanu"
"6";"1";"1";"1";"1";"str. Lipovenilor"
"7";"1";"1";"1";"1";"str. Livezii  - nr.impare 1 – 39 şi nr. pare 2 – 42"
"8";"1";"1";"1";"1";"str. Mărăşeşti"
"9";"1";"1";"1";"1";"str. Mihail Kogălniceanu"
"10";"1";"1";"1";"1";"str. Morii"
"11";"1";"1";"1";"1";"str. Oituz"
"12";"1";"1";"1";"1";"str. Reteag"
"13";"1";"1";"1";"1";"str. Simion Balint"
"14";"1";"2";"1";"1";"str. Amurgului"
"15";"1";"2";"1";"1";"str. Avram Iancu"
"16";"1";"2";"1";"1";"str. Barbu Lăutaru"
"17";"1";"2";"1";"1";"str. Călăraşilor"
"18";"1";"2";"1";"1";"str. George Coşbuc"
"19";"1";"2";"1";"1";"str. Libertăţii"
"20";"1";"2";"1";"1";"str. Mărăşti"
"21";"1";"2";"1";"1";"str. Mihai Eminescu"
"22";"1";"2";"1";"1";"str. Nufărului"
"23";"1";"2";"1";"1";"str. Primăverii"
"24";"1";"2";"1";"1";"str. Rândunelelor"
"25";"1";"2";"1";"1";"str. Regina Maria"
"26";"1";"2";"1";"1";"str. Simion Bărnuţiu"
"27";"1";"2";"1";"1";"str. Tribunalului"
"28";"1";"2";"1";"1";"str. Teilor"
"29";"1";"2";"1";"1";"str. Trandafirilor"
"30";"1";"3";"1";"1";"str. Andrei Mureşanu"
"31";"1";"3";"1";"1";"str. Augustin Bena"
"32";"1";"3";"1";"1";"str. Bucureşti"
"33";"1";"3";"1";"1";"str. Florilor"
"34";"1";"3";"1";"1";"str. Ion Arion"
"35";"1";"3";"1";"1";"Pţa Ion.I.C.Brătianu"
"36";"1";"3";"1";"1";"str. Olteniei"
"37";"1";"3";"1";"1";"str. Pictor Sava Henţia"
"38";"1";"3";"1";"1";"str. Plevnei"
"39";"1";"3";"1";"1";"str. Siretului"
"40";"1";"4";"1";"1";"str. Bucovinei"
"41";"1";"4";"1";"1";"str. Calea Moţilor  - nr. 1 bl. S1H, nr. 3 bl. S1G, nr. 5 bl. S1F, nr. 7 bl. S1E, nr. 9 P-ţa Agroalimentară, nr.11casă,          nr.2 bl. M2A, nr. 4 bl. M2B, nr. 6 bl. M2C , nr. 8 Cămin Garnizoană , nr.pare 10 -18 case "
"42";"1";"4";"1";"1";"Pţa Consiliul Europei"
"43";"1";"4";"1";"1";"str. Nicolae Bălcescu"
"44";"1";"4";"1";"1";"str. Nicolae Titulescu"
"45";"1";"5";"1";"1";"str. Ardealului"
"46";"1";"5";"1";"1";"str. Decebal"
"47";"1";"5";"1";"1";"str. Frederic Mistral"
"48";"1";"5";"1";"1";"str. Mihai Viteazul  - nr.impare 1-9A şi nr.pare 2-8 case "
"49";"1";"5";"1";"1";"Pţa Iuliu Maniu"
"50";"1";"5";"1";"1";"Pţa Naţiunii"
"51";"1";"6";"1";"1";"str. Banatului"
"52";"1";"6";"1";"1";"Bld. Ferdinand I  - nr.impare 1-97 şi nr.pare  2-90 case"
"53";"1";"6";"1";"1";"str. Bega"
"54";"1";"6";"1";"1";"str. Crişanei"
"55";"1";"6";"1";"1";"str. Dobrogei"
"56";"1";"6";"1";"1";"str. Iaşilor"
"57";"1";"6";"1";"1";"str. Maramureşului"
"58";"1";"6";"1";"1";"str. Moldovei"
"59";"1";"6";"1";"1";"str. Rogozului"
"60";"1";"6";"1";"1";"str. Timişului"
"61";"1";"6";"1";"1";"str. Tisa"
"62";"1";"6";"1";"1";"str. Viilor"
"63";"1";"7";"1";"1";"str. Barbu Catargiu"
"64";"1";"7";"1";"1";"str. Basarabiei"
"65";"1";"7";"1";"1";"Bld. Încoronării  - nr.impare 1-75C şi nr.pare  2-56 case "
"66";"1";"7";"1";"1";"Bld. 1 Decembrie 1918  - nr.pare 2(56A)-20(68) şi nr.impare 1(77) - 9(81A) case"
"67";"1";"7";"1";"1";"str. Dealul Furcilor"
"68";"1";"7";"1";"1";"str. Dimitrie Cantemir"
"69";"1";"7";"1";"1";"str. Emile Zola"
"70";"1";"7";"1";"1";"str. Izvorului"
