"POTOR CALIN","PARTIDUL DEMOCRAT LIBERAL","1 Alba",14882
"MOCAN ANGELICA ELISABETA","ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR","1 Alba",5099
"KOMAROMI ATTILA-SANDOR","UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA","1 Alba",350
"COVACIU COSMIN-ADRIAN","PARTIDUL NATIONAL LIBERAL","1 Alba",4580
"SIMA DOMNINCA-MONICA","PARTIDUL ROMÂNIA MARE","1 Alba",662
"SUTO ALEXANDRU","PARTIDUL NOUA GENERATIE - CRESTIN DEMOCRAT","1 Alba",397
"DUMITRESCU LIANA","ASOCIATIA MACEDONENILOR DIN ROMÂNIA","1 Alba",63
"MANOLESCU OANA","ASOCIATIA LIGA ALBANEZILOR DIN ROMÂNIA","1 Alba",15
"VAINER AUREL","FEDERATIA COMUNITATILOR EVREIESTI DIN ROMÂNIA","1 Alba",67
"RADAN MIHAI","UNIUNEA CROATILOR DIN ROMÂNIA","1 Alba",28
"GANT OVIDIU-VICTOR","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA","1 Alba",78
"Z1SOPOL DRAGOS-GABRIEL","UNIUNEA ELENA DIN ROMÂNIA","1 Alba",19
"IGNAT MIRON","COMUNITATEA RUSILOR LIPOVENI DIN ROMÂNIA","1 Alba",18
"PAMBUCCIAN VARUJAN","UNIUNEA ARMENILOR DIN ROMÂNIA","1 Alba",46
"AMET ALEDIN","UNIUNEA DEMOCRATA A TATARILOR TURCO-MUSULMANI DIN ROMÂNIA","1 Alba",21
"MERKA ADRIAN-MIROSLAV","UNIUNEA DEMOCRATICA A SLOVACILOR SI CEHILOR DIN ROMÂNIA","1 Alba",45
"POPOV DUSAN","UNIUNEA SÂRBILOR DIN ROMÂNIA","1 Alba",17
"IBRAM IUSEIN","UNIUNEA DEMOCRATA TURCA DIN ROMÂNIA","1 Alba",19
"LONGHER GHERVAZEN","UNIUNEA POLONEZILOR DIN ROMÂNIA","1 Alba",8
"BUCIUTA STEFAN","UNIUNEA UCRAINENILOR DIN ROMÂNIA","1 Alba",14
"MIRCOVICI NICULAE","UNIUNEA BULGARA DIN BANAT-ROMÂNIA","1 Alba",15
"FIRCZAK GHEORGHE","UNIUNEA CULTURALA A RUTENILOR DIN ROMÂNIA","1 Alba",63
"PAUN NICOLAE","PARTIDA ROMILOR PRO-EUROPA","1 Alba",98
