"PERES ALEXANDRU";"PARTIDUL DEMOCRAT LIBERAL";"S1 Alba";35648
"MIMAI NICUSOR-MIRCEA";"PARTIDUL NATIONAL LIBERAL";"S1 Alba";18490
"NARITA VIRGIL-NICOLAE";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S1 Alba";16503
"BARA VASILE";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S1 Alba";2451
"BARBU DOMITIAN";"PARTIDUL ROMÂNIA MARE";"S1 Alba";2365
"UTIU IOAN";"PARTIDUL VERDE ECOLOGIST";"S1 Alba";1522
"TOTH CSABA-COLOMAN";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S1 Alba";1259
"DOBRA NICOLAE";"PARTIDUL DEMOCRAT LIBERAL";"S2 Alba";24028
"FENESER GHEORGHE";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S2 Alba";11159
"BÂRBULETIU TIBERIU";"PARTIDUL NATIONAL LIBERAL";"S2 Alba";8465
"PALOSY IANOS";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S2 Alba";3931
"ROCIU IOSIF";"PARTIDUL ROMÂNIA MARE";"S2 Alba";1272
"BOANCA IOAN";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S2 Alba";960
"MARIAN OVIDIU";"PARTIDUL DEMOCRAT LIBERAL";"S1 Arad";27110
"MARIS SABIN";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S1 Arad";8536
"SZENTESI SILVIU-GABRIEL";"PARTIDUL NATIONAL LIBERAL";"S1 Arad";7372
"CZISZTER KÂLMÂN-ANDRÂS";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S1 Arad";5534
"GÂRBOVAN GHEORGHE";"PARTIDUL ROMÂNIA MARE";"S1 Arad";2008
"VLAI ADRIAN";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S1 Arad";1217
"ARDELEAN AUREL";"PARTIDUL DEMOCRAT LIBERAL";"S2 Arad";20116
"CRISTINA IOAN";"PARTIDUL NATIONAL LIBERAL";"S2 Arad";11610
"CRACIUN AVRAM";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S2 Arad";10556
"HAÂSZ TIBERIU";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S2 Arad";3391
"BRAD FLOAREA";"PARTIDUL ROMÂNIA MARE";"S2 Arad";1890
"BOAR CORNELIU";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S2 Arad";924
"IGAS TRAIAN-CONSTANTIN";"PARTIDUL DEMOCRAT LIBERAL";"S3 Arad";22890
"REMETAN FLORIN";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S3 Arad";9993
"BOLONI GYORGY";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S3 Arad";3972
"ALBU GEORGE";"PARTIDUL NATIONAL LIBERAL";"S3 Arad";3141
"MOS SIMION";"PARTIDUL ROMÂNIA MARE";"S3 Arad";1368
"GHERMAN PETRU";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S3 Arad";1036
"COSTACHE FLOREA";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S1 Arges";18370
"DIACONU MIRCEA";"PARTIDUL NATIONAL LIBERAL";"S1 Arges";10519
"NICUT GHEORGHE";"PARTIDUL DEMOCRAT LIBERAL";"S1 Arges";9847
"MOISE VASILE";"PARTIDUL ROMÂNIA MARE";"S1 Arges";1828
