# Acesta este un export al documentului cu Statistica Pe Candidați de
# pe site-ul BEC oficial, de aici http://www.becparlamentare2012.ro/statistici%20rezultate%20finale.html
#
# Acest fișier este folosit de results_2012_import.php pentru a asocia
# un număr de voturi cu fiecare candidat în parte și a le adăuga în baza
# noastră de date în tabelele proprii.
#
# NUME,NumeCompetitor,Nr circumscriptie,Nume circ,Colegiu senat,Colegiu Deputati,Total voturi pe colegiu,Total alegatori prezenti,Voturi Obtinute de candidat,Mandat Atribuit,Procent
#
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,1,ALBA,,1,26365,27268,54,0,0.20%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,1,ALBA,,1,26365,27268,12,0,0.05%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,1,ALBA,,1,26365,27268,52,0,0.20%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,1,ALBA,,1,26365,27268,7,0,0.03%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,1,ALBA,,1,26365,27268,17,0,0.06%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,1,ALBA,,1,26365,27268,3,0,0.01%
PÁLOSY JÁNOS,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,1,ALBA,2,,47209,49291,2705,0,5.73%
PEREŞ ALEXANDRU,ALIANŢA ROMÂNIA DREAPTĂ,1,ALBA,2,,47209,49291,15832,1,33.54%
POCOL DORIN-IUSTIN,PARTIDUL POPORULUI - DAN DIACONESCU,1,ALBA,2,,47209,49291,7561,0,16.02%
BARDAN CORNEL-ŞTEFAN,ALIANŢA ROMÂNIA DREAPTĂ,1,ALBA,1,,80870,84065,20818,0,25.74%
CRIŞAN EMIL,PARTIDUL ROMÂNIA MARE,1,ALBA,1,,80870,84065,2390,0,2.96%
