id,nume,prenume,jud_dom,juddom,loc_dom,locdom,ocupatia,profesia,nrcirc,dencirc,tip_camera,tip_formatiune,denumire_formatiune,denumireformatiune,pozitie
1,SZEKERES,ILDIKÓ,1,ALBA,5309,LUNCA MUREŞULUI,PROFESOR,PROFESOR,41,VRANCEA,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,3
2,CRIŞAN,CORINA-ANKA,2,ARAD,9262,MUNICIPIUL ARAD,MEDIC,MEDIC,2,ARAD,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,4
3,VARGA,GLAD-AUREL,2,ARAD,9262,MUNICIPIUL ARAD,MANAGER,ECONOMIST,2,ARAD,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,1
4,PISTRU-POPA,EUSEBIU-MANEA,2,ARAD,9262,MUNICIPIUL ARAD,DEPUTAT,INGINER MECANIC,2,ARAD,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,2
5,BOGHICEVICI,CLAUDIA,2,ARAD,9262,MUNICIPIUL ARAD,VICEPRESEDINTE CONSILIUL JUDETEAN,ECONOMIST,2,ARAD,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,3
6,BÎLCEA,OVIDIU-SERGIU,2,ARAD,9262,MUNICIPIUL ARAD,VICEPRESEDINTE CONSILIUL JUDETEAN ARAD,ECONOMIST,2,ARAD,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,4
7,POPESCU,SEBASTIAN-OVIDIU,2,ARAD,9262,MUNICIPIUL ARAD,MEDIC REZIDENT,MEDIC REZIDENT,2,ARAD,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,7
8,IGNUŢA,DACIANA-GIANINA,2,ARAD,9262,MUNICIPIUL ARAD,AVOCAT,JURIST,2,ARAD,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,4
9,CĂPRAR,DOREL-GHEORGHE,2,ARAD,9262,MUNICIPIUL ARAD,DEPUTAT,JURIST,2,ARAD,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,1
10,TODOR,ADRIAN,2,ARAD,9262,MUNICIPIUL ARAD,SPECIALIST MARKETING,PROFESOR,2,ARAD,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,3
11,STAN,SIMONA-LUCIA,2,ARAD,9262,MUNICIPIUL ARAD,CONSILIER JURIDIC,CONSILIER JURIDIC,2,ARAD,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,3
